13.8,26,0,8.4,5.9,2,11.2,29,62.4,14.1,9.6,4.4,2.9,24.7,10,12000,19.4
13.8,29.2,0,7.7,4.5,1.9,10,27,50,14.1,12.8,0,0,27.8,8.7,11000,22.4
17,31.7,0,9.7,6,3.3,6.2,19,31.6,14.2,13.1,0,0,29.6,10.3,11000,25.1
20,31.7,0,7.5,4.5,2.7,6.2,20,30.6,14.2,12.1,5.1,0,31.5,15,12000,25.3
17.6,30.2,0,8.2,5,1.8,9.9,18,43.4,14.2,9.5,5.3,0,28.6,11.9,12000,24.1
16.3,31,0,7.8,4.9,2,11.7,19,56,14.2,12.8,1.3,0,30.4,10.3,13000,22.3
14.1,28.1,0,7.7,4,1.7,13,34,61.1,14.3,5.2,6.9,1.9,27.1,11.7,13000,21.8
18.4,26.3,0.1,7.4,5.3,1.7,16.2,48,74,14.3,3.5,6.3,4.9,25.3,14.7,13000,21.2
17.6,32.1,0,13.2,7.5,3.2,9,15,48,14.3,12.3,1.8,1.8,31.1,12.9,12000,23.6
13.5,24,0,9.2,6.3,3.4,5.9,26,49.1,14.3,12.7,1.1,1.1,27.9,10.6,11000,17.9
11.5,27.7,0,8.7,5.1,2.1,9.1,24,56.6,14.3,13.1,0.8,0.8,28.6,5.2,11000,19.3
13,30.9,0,7,4.4,1.9,11.3,29,53,14.4,13,0,0,30,7.7,11000,22.7
18.7,35.9,0,9.2,5.1,2.2,12.1,24,40.9,14.4,12.6,1.1,0,35.9,14.1,11000,27.5
19.2,33.3,0,5.4,3.6,1.3,11.5,22,43.1,14.4,7.4,5.3,0.3,35.1,12.3,11000,26.3
19.9,30.7,0,6.8,3.6,1.3,14.1,31,54,14.4,3.5,7.3,2,31.3,14.2,11000,24.6
17.5,32.6,0,12,7.3,2.3,15.8,22,64.6,14.4,9.5,4.9,4.9,31.8,14.3,11000,23.8
14.3,28.8,0,10.1,6.9,2.8,8.8,15,54,14.5,13.3,0.8,0.8,29.6,11.1,10000,20.2
16.2,27.3,0,10.7,6.4,2.8,8.7,23,49.5,14.5,13.1,3.1,1.4,30,13.7,10000,20.7
12.2,29.1,0,9.2,5.8,2.1,7,15,46.8,14.5,13.5,0.3,0.3,28.4,8.8,10000,20.7
13.4,26.8,0,12.3,7.2,3.1,9.6,30,55.4,14.5,12.3,4.4,0,26.5,10,10000,19.6
15.2,21.8,1.5,6,4.4,2,13.4,46,77.4,14.5,0.4,9.4,2.8,22.7,13.6,10000,17.9
17.3,26.5,0.1,9.8,6.5,3.1,16.7,59,76.4,14.5,1.1,9,6.3,24.3,17.5,10000,21.3
18.1,27.9,0,11.7,7.1,3.6,11.4,33,51,14.5,10.5,3.6,2.3,28.3,15.9,10000,22.6
17.4,33,0,9.7,5.7,2.6,10.1,20,42.1,14.5,12.3,3.5,0.4,31.6,13,10000,25.6
18.6,28.9,0,11.7,7.1,2.9,10.4,31,47.3,14.5,2.1,7.8,2,28.5,15.6,10000,22.5
17.1,28.9,0,12.3,7.7,3.4,8.9,25,48.3,14.6,11.4,4.5,3.5,32,16.4,10000,21.1
15.8,23.8,0,11.5,6.6,4,11.2,38,62.3,14.6,8.4,7.8,3.9,27.3,14.6,10000,19.2
15.7,27.7,2,6.8,4.1,2.1,12.3,33,63.8,14.6,8,6.8,4.9,27.1,14.6,9000,20.5
15.3,29.2,0,7.1,4.5,2.4,12.8,31,59.1,14.6,12.1,3.4,3.4,29.7,14.4,9000,22.6
20.5,32.7,0,9.1,5.2,3.3,11.3,27,42.1,14.6,13.4,0.5,0,32.8,15.9,9000,25.8
18.4,28,0,9.8,6.9,4.4,15,42,65.9,14.6,12.7,0.6,0,31.3,17.4,9000,22.1
16.4,32.4,0,6.8,4.4,2.4,14.6,26,62,14.6,12.6,0,0,32.5,15.2,9000,23.5
17.8,35.7,0,9.2,5.7,2.3,14.9,21,56.4,14.6,12.7,0,0,36.9,15.3,9000,26.1
20.3,36.3,0,9.3,3.3,1.3,14.2,24,45.8,14.6,12.2,3,0.8,36.9,15.8,9000,28.6
19.9,30.5,3,7.1,4.8,1.6,15,31,57.4,14.6,2.5,7.9,3,31.1,18.4,9000,25
18.7,32.2,1,9.3,4.9,1.5,16.9,31,68.1,14.6,7.1,6.5,3.5,31.1,19,9000,24.2
18.9,33.2,0,7.5,4.5,1.4,15.4,24,56.1,14.6,12.4,3.5,0.3,33.6,17.2,9000,26
20.2,33.8,0,8.3,5.3,2,15.9,27,55.5,14.6,9,4.8,2.1,33.7,17,9000,26.6
20.4,33.2,0,6.4,4.2,1.8,15.6,30,56.3,14.6,5.1,8,3.9,33.3,19.1,10500,25.8
19.7,29.7,51.5,8.3,5.3,2.4,17.8,38,73.4,14.6,5.1,7.3,3.8,29.1,19.7,10500,23.5
19.7,26.8,12,9.9,5.9,2.5,19.3,61,86.5,14.6,2,9.9,7,26.3,20,12000,21.9
20.1,28.5,0.1,6.1,3.9,1.8,18.2,42,73,14.6,3.9,8.9,6.1,26.8,19.9,13000,23.9
19.7,32.7,0,6,3.3,1.3,17.7,34,63.6,14.6,9,4.9,1.8,32.7,17.8,12000,25.9
21.2,29.6,0.1,4.8,2.9,1.2,19,48,70.3,14.6,2.9,8,1.5,31,19.9,12000,25.2
21.5,32.7,0.2,6.4,4,1.6,20.2,42,68,14.6,6.6,7.1,4.9,31.7,21.4,12000,27.1
24.9,30.5,0.5,9,4.5,1.7,21.8,56,72.5,14.6,0.3,9,3.3,29.5,23.9,12000,27.5
23.7,31.1,2.5,5.9,3,1.1,23.2,62,78.5,14.6,0.9,8.9,5,27.7,22.1,12000,27.4
25.7,34.3,1.5,10.9,6,2,22.5,46,70.6,14.5,3.1,9.5,5.5,34.5,24.2,12000,28.7
24,32.1,0.3,11.6,6,1.6,22.9,56,81.9,14.5,1.3,8.1,5.4,29.5,23,14000,26.4
